# Keyword Planner Report,,,,,,,,,,,,,,,,,,
# Date: 2026-06-12,,,,,,,,,,,,,,,,,,
# Query: manifera.com,,,,,,,,,,,,,,,,,,
# Total Keywords: 1595,,,,,,,,,,,,,,,,,,
"# Total Search Volume: 137,460",,,,,,,,,,,,,,,,,,
# Avg Competition: 12/100,,,,,,,,,,,,,,,,,,
# Avg Top Bid: $2.00,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
#,Keyword,Search Volume,Competition Index,Competition Level,Bid Low ($),Bid High ($),Jul 2025,Aug 2025,Sep 2025,Oct 2025,Nov 2025,Dec 2025,Jan 2026,Feb 2026,Mar 2026,Apr 2026,May 2026,Jun 2026
914,singapore app development company,10,0,Low,0,0,0,0,0,0,0,0,10,0,0,0,10,0
915,skills needed for software developer,10,0,Low,0,0,10,0,0,10,0,0,10,0,10,0,10,0
916,skills needed to be a software engineer,10,36,Medium,0,0,10,0,10,10,10,10,10,0,0,10,0,10
917,skills required for software engineer,10,36,Medium,0,0,10,0,10,10,10,10,10,0,0,10,0,10
918,skills that a software engineer should have,10,0,Low,0,0,0,10,0,0,0,0,0,0,0,0,0,0
919,smartphone app development,10,0,Low,0,0,0,10,0,0,0,10,0,10,0,10,0,0
920,smartphone application development,10,0,Low,0,0,0,10,0,0,0,10,0,10,0,10,0,0
921,so engineer,10,14,Low,0,0,0,10,0,0,0,10,10,10,10,10,10,10
922,social app development,10,0,Low,0,0,10,10,10,0,10,0,0,0,0,10,0,0
923,social media app developers,10,0,Low,0,0,0,0,0,0,0,0,0,10,0,0,0,0
924,social media developers,10,14,Low,0,0,10,10,10,0,0,0,10,10,0,10,0,10
925,social network for developers,10,0,Low,0,0,10,0,10,10,0,0,0,0,10,0,0,0
926,software & app development,10,79,High,0,0,10,10,10,10,0,10,10,10,10,10,0,10
927,software & application development,10,79,High,0,0,10,10,10,10,0,10,10,10,10,10,0,10
928,software & tools,10,0,Low,0,0,10,10,0,0,0,0,0,10,10,0,10,0
929,software & web development,10,0,Low,0,0,10,10,10,10,10,10,10,10,10,10,10,0
930,software and app developer,10,0,Low,0,0,0,10,0,0,0,0,0,0,10,10,0,0
931,software and application developer,10,0,Low,0,0,0,10,0,0,0,0,0,0,10,10,0,0
932,software and application development,10,79,High,0,0,10,10,10,10,0,10,10,10,10,10,0,10
933,software and applications,10,21,Low,0,0,10,10,10,10,10,10,10,10,10,10,10,10
934,software and web development,10,0,Low,0,0,10,0,0,0,0,0,0,0,0,10,0,10
935,software app development company,10,0,Low,0,0,10,0,0,0,0,0,0,0,0,0,0,0
936,software application developer,10,86,High,0,0,10,10,10,10,0,10,10,10,0,10,10,10
937,software application development company,10,0,Low,0,0,0,0,0,0,0,0,0,0,0,0,10,10
938,software application development services,10,0,Low,0,0,10,0,10,0,10,0,0,10,0,10,0,0
939,software application software,10,0,Low,0,0,10,0,0,20,0,0,0,10,0,0,0,0
940,software applications in software engineering,10,0,Low,0,0,10,10,0,10,0,10,10,10,10,0,10,0
941,software at scale,10,0,Low,0,0,0,10,0,0,10,10,0,0,0,0,10,0
942,software bespoke,10,30,Low,3.17,8.91,10,10,10,20,20,20,20,10,20,20,10,10
943,software blog,10,7,Low,0,0,10,10,10,10,10,10,10,10,10,0,10,10
944,software build plan,10,0,Low,0,0,10,0,0,0,0,0,0,0,0,0,0,0
945,software building companies,10,0,Low,0,0,10,0,0,10,0,10,0,10,0,10,10,0
946,software building company,10,0,Low,0,0,10,0,0,10,0,10,0,10,0,10,10,0
947,software building tools,10,0,Low,0,0,10,10,10,0,0,10,10,10,10,10,10,0
948,software case,10,7,Low,0,0,10,10,10,10,10,10,10,10,10,10,10,10
949,software companies in canada,10,43,Medium,0,0,0,20,10,10,10,0,0,10,10,10,10,10
950,software companies in singapore,10,0,Low,0,0,10,0,10,10,10,10,0,0,0,10,10,0
951,software company blog,10,0,Low,0,0,0,0,0,0,0,10,0,0,0,0,0,0
952,software company portfolio,10,0,Low,0,0,10,10,0,0,0,0,0,0,0,0,0,0
953,software company services,10,0,Low,0,0,0,10,10,0,10,10,10,10,10,10,0,10
954,software company team structure,10,0,Low,0,0,10,0,0,0,0,0,0,0,0,0,0,0
955,software company us,10,0,Low,0,0,0,10,0,0,0,10,10,0,10,0,10,0
956,software concept,10,6,Low,0,0,10,10,0,10,10,10,10,10,10,10,0,10
957,software cost,10,64,Medium,0,0,10,10,10,10,10,10,10,10,10,10,10,10
958,software creation tool,10,0,Low,0,0,0,0,0,0,10,0,0,0,0,0,0,0
959,software cycle,10,0,Low,0,0,10,10,10,10,10,10,10,10,10,10,10,10
960,software de,10,2,Low,0,0,10,10,10,10,10,10,10,10,10,0,10,10
961,software deployment cycle,10,0,Low,0,0,0,10,0,0,10,0,0,0,0,0,10,10
962,software design company,10,52,Medium,0,0,0,0,10,0,0,10,0,10,10,10,0,10
963,software design ideas,10,0,Low,0,0,0,0,0,0,0,0,10,10,0,0,10,0
964,software design in software engineering,10,8,Low,0,0,10,10,10,30,10,10,10,10,20,10,0,10
965,software design plan,10,0,Low,0,0,0,0,0,0,0,10,0,0,0,0,0,0
966,software design project ideas,10,0,Low,0,0,0,0,0,0,0,0,0,0,0,0,10,0
967,software design services,10,0,Low,0,0,0,10,0,0,0,0,0,0,0,0,0,0
968,software design skills,10,0,Low,0,0,10,0,0,0,0,10,0,0,0,0,10,0
969,software design stages,10,0,Low,0,0,10,0,10,10,0,10,10,0,0,0,10,0
970,software designing tools,10,0,Low,0,0,10,10,10,10,10,10,0,10,10,10,10,10
971,software dev engineer,10,21,Low,3.04,17.77,20,10,10,20,10,10,10,10,10,10,10,10
972,software dev tools,10,35,Medium,0,0,10,10,10,20,10,10,10,10,10,10,10,10
973,software developer ai,10,71,High,2.62,8.4,10,10,10,10,10,10,10,10,10,10,10,10
974,software developer and engineer,10,43,Medium,0,0,0,0,0,0,0,0,0,0,0,0,10,10
975,software developer and software engineer,10,43,Medium,0,0,10,10,10,10,10,10,10,0,10,10,10,10
976,software developer best courses,10,71,High,0,0,0,0,0,0,0,0,0,0,10,10,0,10
977,software developer blog,10,0,Low,0,0,0,0,0,0,10,0,10,10,0,10,0,0
978,software developer canada,10,0,Low,0,0,10,10,10,0,0,0,10,0,0,0,10,0
979,software developer companies near me,10,100,High,0,0,0,10,0,0,10,10,0,10,0,0,10,10
980,software developer cycle,10,0,Low,0,0,0,0,0,0,0,0,0,0,0,10,0,10
981,software developer design,10,0,Low,0,0,0,0,0,10,0,0,0,0,0,0,10,0
982,software developer experience,10,0,Low,0,0,0,10,10,10,0,0,10,0,10,0,0,0
983,software developer guide,10,0,Low,0,0,10,0,0,0,0,0,0,0,0,0,10,0
984,software developer how long does it take,10,0,Low,0,0,0,0,0,10,0,0,0,0,0,0,0,0
985,software developer i,10,0,Low,0,0,10,0,0,10,0,10,0,0,0,0,10,10
986,software developer information,10,0,Low,0,0,0,0,0,10,0,10,0,10,10,10,0,0
987,software developer is,10,0,Low,0,0,0,0,0,0,10,0,10,10,0,0,0,0
988,software developer job description,10,36,Medium,0,0,10,10,10,10,10,10,10,10,10,10,10,10
989,software developer job role,10,36,Medium,0,0,10,10,10,10,10,10,10,10,10,10,10,10
990,software developer manager,10,0,Low,0,0,10,0,0,10,10,0,10,10,10,0,0,0
991,software developer market,10,0,Low,0,0,0,10,0,0,0,0,0,0,0,0,0,0
992,software developer mobile,10,0,Low,0,0,0,0,10,10,0,0,0,0,10,0,0,0
993,software developer needs,10,0,Low,0,0,0,0,0,0,10,0,0,0,0,0,0,0
994,software developer number,10,0,Low,0,0,0,0,0,0,0,10,0,0,0,0,0,0
995,software developer online,10,0,Low,0,0,10,10,0,10,10,10,0,0,10,10,0,0
996,software developer platform,10,0,Low,0,0,0,0,10,0,0,0,0,10,0,10,0,0
997,software developer projects,10,0,Low,0,0,0,10,0,0,10,10,0,10,10,10,0,0
998,software developer required skills,10,0,Low,0,0,10,0,0,10,0,0,10,0,10,0,10,0
999,software developer requirements,10,0,Low,0,0,0,10,10,0,10,0,10,0,0,10,10,0
1000,software developer skills,10,14,Low,0,0,10,10,10,10,10,10,10,20,10,10,10,10
1001,software developer software engineer,10,43,Medium,0,0,10,10,10,10,10,10,10,0,10,10,10,10
1002,software developer team,10,24,Low,0,0,10,0,0,10,10,10,10,0,0,10,10,10
1003,software developer technologies,10,0,Low,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1004,software developer to project manager,10,0,Low,0,0,10,0,10,10,0,0,10,0,0,0,0,0
1005,software developer to software engineer,10,0,Low,0,0,10,0,0,0,10,0,0,0,0,0,0,0
1006,software developer vietnam,10,71,High,0,0,0,0,0,0,0,0,0,10,0,0,10,10
1007,software developer web developer,10,0,Low,0,0,0,0,10,0,0,0,10,0,10,0,0,0
1008,software developer website,10,43,Medium,0,0,10,10,10,10,10,10,10,10,10,10,10,10
1009,software developer what do they do,10,2,Low,0,0,10,10,10,10,10,0,10,10,10,10,0,10
1010,software developer what is it,10,0,Low,0,0,0,0,0,10,0,0,0,10,0,0,0,0
1011,software developer what they do,10,2,Low,0,0,10,10,10,10,10,0,10,10,10,10,0,10
1012,software developer what to learn,10,0,Low,0,0,10,0,0,0,0,0,0,0,0,0,0,0
1013,software developer work,10,23,Low,0,0,10,10,10,10,10,10,10,10,10,10,0,10
1014,software development and maintenance,10,0,Low,0,0,10,0,0,0,10,0,0,0,10,0,10,0
1015,software development and management,10,7,Low,0,0,10,10,10,10,10,10,10,10,10,10,10,10
1016,software development and services,10,22,Low,7.03,15.75,20,10,10,10,10,20,10,10,40,10,10,10
1017,software development and software engineering,10,0,Low,0,0,10,10,10,10,10,0,10,10,10,10,10,0
1018,software development and web development,10,0,Low,0,0,10,0,0,0,0,10,0,0,0,0,0,0
1019,software development as a service,10,83,High,17.58,30.91,10,10,10,10,10,10,0,10,0,0,10,10
1020,software development blogs,10,0,Low,0,0,10,10,10,10,10,0,10,10,0,10,10,0
1021,software development business,10,71,High,0,0,10,0,0,10,10,10,10,0,10,10,10,10
1022,software development canada,10,0,Low,0,0,0,0,0,10,0,0,0,0,0,0,0,0
1023,software development companies in canada,10,0,Low,0,0,0,0,0,10,0,0,0,0,0,10,10,0
1024,software development companies in netherlands,10,100,High,0,0,20,10,40,20,40,10,10,10,10,10,10,10
1025,software development companies near me,10,39,Medium,0,0,10,10,10,10,10,10,10,0,30,10,10,10
1026,software development company in us,10,0,Low,0,0,10,40,10,10,10,10,0,10,0,0,0,0
1027,software development company singapore,10,0,Low,0,0,0,0,0,0,0,0,0,0,10,0,0,0
1028,software development company vietnam,10,0,Low,0,0,0,0,0,0,0,0,0,10,0,0,0,0
1029,software development company website,10,0,Low,0,0,10,0,10,0,0,10,10,10,10,10,0,0
1030,software development concept,10,0,Low,0,0,10,10,0,10,0,10,0,10,10,0,10,0
1031,software development consultants,10,5,Low,0,0,10,10,10,10,10,10,10,10,10,10,10,20
1032,software development corporation,10,0,Low,0,0,10,0,0,0,0,0,0,10,0,0,0,0
1033,software development cost,10,86,High,0,0,10,10,10,10,10,10,10,20,10,10,10,10
1034,software development courses online,10,86,High,0,0,10,10,10,10,10,10,10,10,10,10,10,10
1035,software development department,10,0,Low,0,0,0,0,0,0,0,10,0,0,0,10,10,0
1036,software development design,10,0,Low,0,0,10,10,10,10,10,10,10,10,10,0,10,0
1037,software development devops,10,14,Low,0,0,0,0,0,10,0,0,10,0,0,10,10,10
1038,software development engineer,10,21,Low,3.04,17.77,20,10,10,20,10,10,10,10,10,10,10,10
1039,software development engineer courses,10,0,Low,0,0,0,0,0,0,0,0,0,0,0,10,0,0
1040,software development engineer i,10,0,Low,0,0,0,0,0,0,0,0,0,0,10,0,0,0
1041,software development engineer job description,10,0,Low,0,0,0,10,0,10,0,0,0,0,0,0,0,0
1042,software development environment,10,0,Low,0,0,10,10,10,10,10,10,10,10,10,10,10,0
1043,software development experience,10,0,Low,0,0,10,0,0,10,10,0,0,0,10,0,0,0
1044,software development for,10,0,Low,0,0,0,0,0,0,0,0,10,0,0,0,0,0
1045,software development for business,10,0,Low,0,0,10,0,0,0,10,0,0,0,0,0,0,0
1046,software development for dummies,10,100,High,0,0,10,10,10,10,10,10,0,10,10,10,10,10
1047,software development for financial services,10,0,Low,0,0,10,0,0,0,0,10,10,10,10,10,0,0
1048,software development for project managers,10,0,Low,0,0,0,0,0,0,0,10,0,0,0,0,10,0
1049,software development full stack,10,0,Low,0,0,0,0,0,0,0,10,0,10,0,0,0,0
1050,software development ideas,10,0,Low,0,0,10,10,10,0,10,10,0,10,0,0,0,0
1051,software development in,10,0,Low,0,0,0,10,0,0,0,0,10,0,0,10,0,0
1052,software development is,10,0,Low,0,0,10,10,10,10,10,10,0,0,10,0,0,0
1053,software development it company,10,0,Low,0,0,10,10,0,0,0,0,0,10,0,0,0,0
1054,software development job description,10,0,Low,0,0,0,0,10,10,0,10,0,10,10,0,0,0
1055,software development job requirements,10,0,Low,0,0,0,0,10,10,0,10,0,10,10,0,0,0
1056,software development maintenance,10,0,Low,0,0,10,0,0,0,10,0,0,0,10,0,10,0
1057,software development manager job,10,71,High,0,0,0,0,10,0,10,10,0,0,0,0,0,10
1058,software development manager job description,10,0,Low,0,0,0,0,0,10,0,0,0,0,0,0,0,0
1059,software development market,10,0,Low,0,0,10,10,0,0,10,0,0,0,0,0,0,0
1060,software development marketing,10,0,Low,0,0,0,0,0,70,0,0,0,0,0,0,10,0
1061,software development organizational structure,10,0,Low,0,0,0,0,10,10,0,0,0,10,0,10,0,0
1062,software development outsourcing companies,10,0,Low,0,0,10,10,10,10,10,10,10,10,20,10,10,0
1063,software development outsourcing models,10,0,Low,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1064,software development outsourcing services,10,0,Low,0,0,0,0,10,10,0,0,10,10,20,0,0,0
1065,software development partner,10,24,Low,6.58,14.45,10,10,20,70,10,10,10,10,10,10,10,10
1066,software development plan,10,29,Low,0,0,10,10,10,10,10,10,10,10,10,10,10,10
1067,software development platforms,10,25,Low,0,0,10,10,10,10,10,10,10,10,10,0,10,10
1068,software development products,10,0,Low,0,0,0,0,0,10,0,0,0,0,0,10,0,0
1069,software development professionals,10,14,Low,0,0,10,0,0,10,0,0,0,0,0,0,0,10
1070,software development project ideas,10,0,Low,0,0,10,10,10,10,10,10,0,10,10,0,0,0
1071,software development projects,10,41,Medium,4.36,12.66,10,10,10,10,10,10,10,10,10,10,10,10
1072,software development requirements,10,0,Low,0,0,10,10,10,10,10,10,10,10,10,10,10,10
1073,software development service provider,10,0,Low,0,0,0,0,0,0,0,0,0,10,0,0,0,0
1074,software development services,10,22,Low,7.03,15.75,20,10,10,10,10,20,10,10,40,10,10,10
1075,software development services companies,10,0,Low,0,0,0,10,0,0,0,0,0,10,0,0,0,0
1076,software development services near me,10,0,Low,0,0,0,0,0,10,0,0,0,0,0,10,0,0
1077,software development singapore,10,0,Low,0,0,0,0,0,10,0,10,0,10,0,10,0,0
1078,software development skills,10,11,Low,0,0,10,0,10,0,10,10,10,10,10,10,10,10
1079,software development skills required,10,0,Low,0,0,10,0,0,0,0,0,0,10,0,0,0,0
1080,software development software,10,86,High,0,0,10,10,10,10,10,0,0,10,10,0,10,10
1081,software development software engineering,10,0,Low,0,0,10,10,10,10,10,0,10,10,10,10,10,0
1082,software development solutions,10,43,Medium,0,0,0,10,0,0,10,0,10,0,10,0,10,10
1083,software development specialist,10,0,Low,0,0,0,0,0,0,10,0,10,0,0,0,10,0
1084,software development support,10,0,Low,0,0,0,0,10,0,0,0,0,0,10,0,0,0
1085,software development system,10,0,Low,0,0,10,10,10,0,0,0,10,0,10,10,0,0
1086,software development team management,10,0,Low,0,0,10,10,0,0,0,0,0,10,0,0,0,0
1087,software development team organizational structure,10,86,High,0,0,0,0,0,0,0,0,10,0,0,0,0,10
1088,software development team structure,10,0,Low,0,0,10,10,10,10,10,0,0,10,0,10,10,10
1089,software development technician,10,0,Low,0,0,0,10,0,10,0,0,0,0,10,0,0,0
1090,software development technologies,10,0,Low,0,0,0,10,10,0,0,0,0,10,0,10,10,0
1091,software development tools,10,35,Medium,0,0,10,10,10,20,10,10,10,10,10,10,10,10
1092,software development tools and technologies,10,0,Low,0,0,0,0,0,10,0,0,0,0,0,0,0,0
1093,software development track,10,0,Low,0,0,0,0,10,10,0,0,0,0,0,0,0,0
1094,software development web,10,0,Low,0,0,10,10,10,10,10,10,0,10,10,10,10,0
1095,software development web development,10,0,Low,0,0,10,0,0,0,0,10,0,0,0,0,0,0
1096,software development website,10,0,Low,0,0,10,10,10,10,10,10,0,10,10,10,10,0
1097,software development what is it,10,0,Low,0,0,0,0,0,0,10,0,0,0,0,0,10,0
1098,software development where to start,10,0,Low,0,0,0,0,10,0,0,0,0,0,0,0,0,0
1099,software development work,10,0,Low,0,0,0,0,0,0,0,0,10,0,0,10,0,0
1100,software devops engineer,10,0,Low,0,0,0,0,10,0,10,0,0,10,0,0,10,0
1101,software digital,10,0,Low,0,0,10,0,10,10,10,0,10,10,10,10,0,0
1102,software director,10,14,Low,0,0,0,10,10,0,10,10,10,10,10,10,10,10
1103,software do,10,0,Low,0,0,0,10,10,0,10,10,0,0,10,0,0,0
1104,software engineer app,10,0,Low,0,0,10,10,10,0,0,0,10,0,10,0,0,0
1105,software engineer blogs,10,0,Low,0,0,10,10,10,10,10,10,10,10,0,10,10,10
1106,software engineer business,10,0,Low,0,0,0,10,0,0,10,0,0,10,0,10,0,0
1107,software engineer companies,10,29,Low,0,0,10,10,10,10,10,10,10,10,10,10,10,10
1108,software engineer cost,10,0,Low,0,0,20,10,10,10,10,10,0,10,10,10,10,10
1109,software engineer cycle,10,0,Low,0,0,10,0,0,10,0,10,10,10,10,10,10,0
1110,software engineer daily,10,0,Low,0,0,0,10,10,10,10,10,10,0,0,0,10,0
1111,software engineer design,10,8,Low,0,0,10,10,10,30,10,10,10,10,20,10,0,10
1112,software engineer do,10,0,Low,0,0,0,10,10,0,0,10,0,0,10,10,0,0
1113,software engineer easy,10,0,Low,0,0,0,0,0,0,10,0,10,0,0,0,0,0
1114,software engineer firm,10,0,Low,0,0,0,0,10,140,10,10,0,10,10,0,0,0
1115,software engineer how long does it take to become,10,0,Low,0,0,10,0,0,0,0,0,0,0,0,0,0,0
1116,software engineer how many years,10,0,Low,0,0,0,0,0,10,0,10,0,10,0,0,0,0
1117,software engineer how to,10,43,Medium,0,0,10,10,10,10,10,10,10,10,10,10,10,10
1118,software engineer i,10,43,Medium,0,0,10,10,10,10,10,10,0,10,10,10,10,10
1119,software engineer is,10,0,Low,0,0,0,10,0,0,10,10,10,0,10,0,0,0
1120,software engineer journey,10,0,Low,0,0,0,0,0,0,10,0,0,0,0,10,0,0
1121,software engineer needs,10,0,Low,0,0,0,0,0,0,10,0,0,0,10,0,0,0
1122,software engineer project management,10,0,Low,0,0,10,20,10,10,10,10,10,10,10,10,10,0
1123,software engineer projects,10,12,Low,0,0,10,10,10,90,10,10,10,10,10,10,10,10
1124,software engineer stack,10,43,Medium,0,0,0,10,10,10,10,0,0,10,10,0,10,10
1125,software engineer team,10,0,Low,0,0,10,10,10,10,10,0,10,10,10,10,10,10
1126,software engineer to devops,10,0,Low,0,0,0,0,10,0,0,10,0,0,10,0,0,0
1127,software engineer to project manager,10,0,Low,0,0,10,0,10,0,10,0,10,10,0,10,10,0
1128,software engineer tools,10,14,Low,0,0,10,10,10,10,10,10,10,10,10,10,10,10
1129,software engineer what do they do,10,0,Low,0,0,10,10,10,10,0,10,10,10,10,10,10,10
1130,software engineer work,10,29,Low,0,0,0,10,10,10,10,10,10,10,10,0,10,10
1131,software engineer youtube,10,0,Low,0,0,0,10,10,10,10,10,0,10,10,10,10,10
1132,software engineering specialist,10,86,High,0,0,0,0,0,0,0,0,10,10,0,0,10,10
1133,software engineers near me,10,4,Low,0,0,10,10,10,10,20,10,10,10,10,20,10,20
1134,software for ai development,10,0,Low,0,0,0,0,0,10,0,0,0,0,0,0,0,0
1135,software for making apps,10,73,High,3.09,10.5,10,10,10,10,10,20,10,10,10,10,10,10
1136,software green,10,5,Low,0,0,20,10,10,10,10,10,20,20,10,10,10,20
1137,software house app,10,0,Low,0,0,0,0,0,0,10,0,0,0,0,0,0,0
1138,software house company,10,0,Low,0,0,0,10,10,10,0,0,0,0,10,0,0,10
1139,software house websites,10,0,Low,0,0,10,10,10,10,0,0,0,0,0,0,10,0
1140,software implementation,10,37,Medium,5.68,13.61,10,20,10,10,20,10,10,10,10,10,10,20
1141,software it engineer,10,0,Low,0,0,0,0,0,0,10,0,0,0,0,0,0,0
1142,software it solutions,10,43,Medium,0,0,0,0,0,10,0,0,0,0,0,10,0,10
1143,software level,10,0,Low,0,0,10,10,10,10,10,10,10,10,10,10,10,10
1144,software made,10,14,Low,0,0,10,0,0,10,0,10,10,10,10,10,10,10
1145,software making software,10,0,Low,0,0,0,0,0,0,10,0,0,0,0,0,0,0
1146,software making tools,10,35,Medium,0,0,10,10,10,20,10,10,10,10,10,10,10,10
1147,software operation,10,0,Low,0,0,0,10,10,10,10,10,10,0,0,10,10,10
1148,software outsourcing companies,10,0,Low,0,0,10,10,10,10,10,10,10,10,40,10,0,0
1149,software outsourcing company in vietnam,10,0,Low,0,0,10,10,0,0,0,0,0,0,0,0,0,0
1150,software outsourcing services,10,0,Low,0,0,10,0,0,0,0,0,0,0,10,0,0,0
1151,software process manager,10,0,Low,0,0,10,0,10,0,10,10,0,0,0,10,10,0
1152,software product developer,10,0,Low,0,0,0,10,0,0,0,0,0,0,0,10,0,0
1153,software product development company,10,0,Low,0,0,10,10,0,10,0,0,10,0,0,0,0,0
1154,software production,10,36,Medium,0,0,10,10,10,10,10,0,10,10,10,10,10,10
1155,software professional,10,29,Low,0,0,10,10,0,10,10,10,10,10,0,10,0,10
1156,software programmers,10,27,Low,0,0,10,20,10,20,10,10,10,30,10,10,10,10
1157,software programming companies,10,0,Low,0,0,0,0,0,10,0,0,0,0,0,0,10,0
1158,software project design,10,79,High,0,0,10,0,0,0,10,0,10,0,0,0,0,10
1159,software project management in software engineering,10,0,Low,0,0,10,20,10,10,10,10,10,10,10,10,10,0
1160,software project outsourcing,10,0,Low,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1161,software project stages,10,0,Low,0,0,10,0,0,10,0,0,0,0,10,10,0,0
1162,software singapore,10,0,Low,0,0,0,0,10,0,0,0,0,0,10,0,0,0
1163,software solutions companies,10,0,Low,0,0,10,10,10,90,10,10,10,10,10,10,10,10
1164,software speed,10,3,Low,0,0,10,0,10,0,0,10,10,10,10,10,10,10
1165,software team structure,10,0,Low,0,0,0,10,0,0,0,10,0,0,10,0,10,0
1166,software thinking,10,0,Low,0,0,0,10,10,10,10,0,0,0,10,10,10,10
1167,software times,10,0,Low,0,0,10,10,10,10,0,10,10,0,10,10,10,0
1168,software used,10,7,Low,0,0,10,10,10,10,10,10,10,10,10,10,10,10
1169,software used for web development,10,0,Low,0,0,0,0,0,0,0,0,0,10,0,0,0,0
1170,software web app development,10,0,Low,0,0,10,0,0,0,10,0,0,10,10,10,0,0
1171,software working,10,5,Low,0,0,0,10,10,10,0,10,0,10,10,10,0,10
1172,stack development,10,7,Low,0,0,10,10,10,10,10,10,10,10,10,10,10,10
1173,stack for web development,10,0,Low,0,0,10,10,10,10,10,10,0,10,10,10,10,10
1174,stack tools,10,0,Low,0,0,10,10,10,10,10,10,10,10,10,10,10,10
1175,stack web app,10,29,Low,0,0,0,0,0,0,0,0,10,0,0,10,0,10
1176,starting an app,10,0,Low,0,0,10,0,0,10,10,0,10,10,10,0,0,0
1177,sustainable software development,10,0,Low,0,0,10,10,10,10,10,10,10,10,10,10,10,10
1178,sw developer,10,43,Medium,0,0,10,10,10,10,10,10,10,10,10,10,10,10
1179,system dev,10,18,Low,2.24,6.41,10,10,10,20,10,10,10,10,30,10,10,10
1180,system developer,10,14,Low,0,0,10,10,10,20,10,10,10,10,10,10,10,10
1181,system development company,10,0,Low,0,0,0,10,0,0,0,0,0,0,0,0,0,0
1182,system software developer,10,0,Low,0,0,10,10,10,10,10,10,0,10,10,10,10,10
1183,system software engineering,10,0,Low,0,0,0,10,10,10,70,10,10,10,10,10,10,10
1184,t software,10,0,Low,0,0,10,0,10,10,0,10,0,10,0,0,10,10
1185,tailored software development,10,0,Low,0,0,0,0,0,0,10,10,10,0,0,10,10,0
1186,technical developer,10,29,Low,0,0,10,10,10,0,10,10,10,10,10,10,10,10
1187,technical skills needed for software developer,10,0,Low,0,0,0,0,0,0,10,0,0,0,0,0,0,0
1188,technical skills required for software developer,10,0,Low,0,0,0,10,0,0,0,10,0,0,0,0,0,0
1189,technical skills required for software engineer,10,0,Low,0,0,0,10,0,0,0,0,0,0,0,0,0,0
1190,technical software development,10,0,Low,0,0,0,0,0,0,10,0,0,0,0,10,0,0
1191,technical software engineer,10,60,Medium,1.37,2.24,10,10,10,10,10,10,10,0,10,10,10,10
1192,technologies app,10,0,Low,0,0,10,10,10,20,10,10,20,10,10,10,10,10
1193,the best app developers,10,0,Low,0,0,0,0,10,0,0,0,0,0,10,0,0,0
1194,the best app development software,10,0,Low,0,0,0,0,0,0,0,0,0,0,10,0,0,0
1195,the cost of creating an app,10,0,Low,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1196,the software company,10,14,Low,0,0,10,0,10,10,0,10,10,0,10,10,10,10
1197,the software development,10,0,Low,0,0,0,0,10,10,0,0,0,0,0,0,0,0
1198,the software development cycle,10,7,Low,0,0,10,0,0,10,0,0,0,0,10,0,10,10
1199,the software engineering,10,0,Low,0,0,10,30,0,0,10,10,10,0,0,10,0,0
1200,tools for developers,10,21,Low,0,0,10,10,10,10,10,10,10,10,10,10,10,10
1201,tools used by developers,10,0,Low,0,0,0,0,0,0,0,0,0,10,0,0,0,0
1202,tools used by software engineers,10,0,Low,0,0,0,10,0,0,10,0,0,10,0,0,0,0
1203,tools used in software development,10,0,Low,0,0,0,10,0,0,0,0,0,0,0,0,0,0
1204,type dev,10,0,Low,0,0,10,10,10,10,0,10,10,0,0,0,0,0
1205,us mobile app development companies,10,71,High,0,0,10,10,10,10,0,0,0,0,0,0,10,10
1206,us software,10,0,Low,0,0,10,10,10,10,10,10,10,10,10,10,10,10
1207,us software companies,10,0,Low,0,0,10,10,10,0,10,0,0,10,0,10,0,0
1208,use case tools in software engineering,10,0,Low,0,0,0,0,0,0,0,0,0,10,0,0,0,0
1209,various software development models,10,0,Low,0,0,0,0,10,0,0,0,0,0,0,10,0,0
1210,vietnam software,10,0,Low,0,0,10,10,10,10,10,10,0,0,10,10,0,10
1211,vietnam software company,10,0,Low,0,0,0,0,0,10,10,0,0,10,10,0,0,0
1212,vietnam software development,10,0,Low,0,0,10,0,0,10,0,0,0,0,0,0,0,0
1213,vietnam software development company,10,0,Low,0,0,0,0,0,0,0,0,0,0,0,10,0,0
1214,vietnam software outsourcing,10,0,Low,0,0,10,0,0,0,0,0,10,0,10,0,0,0
1215,vietnam software outsourcing company,10,0,Low,0,0,10,10,0,0,0,0,0,0,0,0,0,0
1216,vietnamese developers,10,0,Low,0,0,0,10,10,10,0,0,0,10,10,10,0,0
1217,we are technology,10,29,Low,0,0,0,10,10,0,0,0,0,10,0,10,0,10
1218,web & app development,10,0,Low,0,0,10,10,0,10,10,10,10,10,10,10,10,10
1219,web & mobile app development,10,0,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,10
1220,web & mobile app development company,10,0,Low,0,0,0,0,0,0,10,0,0,0,0,0,0,0
1221,web & software developer,10,0,Low,0,0,10,0,0,10,10,10,0,10,0,10,0,0
1222,web & software development,10,0,Low,0,0,0,0,0,0,0,0,0,0,0,10,10,0
1223,web and app developer,10,0,Low,0,0,10,0,0,0,10,10,0,10,10,10,10,0
